DimGeography.CountryRegionCode,EnglishCountryRegionName,StateProvinceName,City,IpAddressLocator,Lookup.CountryRegionCode
CA,Canada,Ontario,Toronto,198.51.100.94,CA
CA,Canada,Ontario,Toronto,198.51.100.95,CA
CA,Canada,Ontario,Toronto,198.51.100.96,CA
CA,Canada,Ontario,Toronto,198.51.100.97,CA
CA,Canada,Ontario,Vancouver,198.51.100.98,CA
CA,Canada,Ontario,Waterloo,198.51.100.99,CA
CA,Canada,Ontario,Weston,198.51.100.100,CA
CA,Canada,Quebec,Brossard,198.51.100.101,CA
CA,Canada,Quebec,Brossard,198.51.100.102,CA
CA,Canada,Quebec,Dorval,198.51.100.103,CA
CA,Canada,Quebec,Hull,198.51.100.104,CA
CA,Canada,Quebec,Montreal,198.51.100.105,CA
CA,Canada,Quebec,Montreal,198.51.100.106,CA
CA,Canada,Quebec,Montreal,198.51.100.107,CA
CA,Canada,Quebec,Montreal,198.51.100.108,CA
CA,Canada,Quebec,Outremont,198.51.100.109,CA
CA,Canada,Quebec,Pnot-Rouge,198.51.100.110,CA
CA,Canada,Quebec,Quebec,198.51.100.111,CA
CA,Canada,Quebec,Sainte-Foy,198.51.100.112,CA
CA,Canada,Quebec,Sillery,198.51.100.113,CA
CA,Canada,Quebec,Ville De'anjou,198.51.100.114,CA
DE,Germany,Brandenburg,Berlin,198.51.100.115,DE
DE,Germany,Brandenburg,Eilenburg,198.51.100.116,DE
DE,Germany,Bayern,Augsburg,198.51.100.117,DE
DE,Germany,Bayern,Erlangen,198.51.100.118,DE
DE,Germany,Bayern,Frankfurt,198.51.100.119,DE
DE,Germany,Bayern,Grevenbroich,198.51.100.120,DE
DE,Germany,Bayern,Hof,198.51.100.121,DE
DE,Germany,Bayern,Ingolstadt,198.51.100.122,DE
DE,Germany,Hessen,Bad Soden,198.51.100.123,DE
DE,Germany,Hessen,Berlin,198.51.100.124,DE
DE,Germany,Hessen,Berlin,198.51.100.125,DE
DE,Germany,Hessen,Berlin,198.51.100.126,DE
DE,Germany,Hessen,Berlin,198.51.100.127,DE
DE,Germany,Hessen,Darmstadt,198.51.100.128,DE
DE,Germany,Hessen,Dresden,198.51.100.129,DE
DE,Germany,Hessen,Duesseldorf,198.51.100.130,DE
DE,Germany,Hessen,Duesseldorf,198.51.100.131,DE
DE,Germany,Hessen,Frankfurt,198.51.100.132,DE
DE,Germany,Hessen,Hamburg,198.51.100.133,DE
DE,Germany,Hessen,Kassel,198.51.100.134,DE
DE,Germany,Hessen,München,198.51.100.135,DE
DE,Germany,Hessen,Salzgitter,198.51.100.136,DE
DE,Germany,Hamburg,Ascheim,198.51.100.137,DE
DE,Germany,Hamburg,Augsburg,198.51.100.138,DE
DE,Germany,Hamburg,Berlin,198.51.100.139,DE
DE,Germany,Hamburg,Berlin,198.51.100.140,DE
DE,Germany,Hamburg,Berlin,198.51.100.141,DE
DE,Germany,Hamburg,Berlin,198.51.100.142,DE
DE,Germany,Hamburg,Bonn,198.51.100.143,DE
DE,Germany,Hamburg,Bonn,198.51.100.144,DE
DE,Germany,Hamburg,Essen,198.51.100.145,DE
DE,Germany,Hamburg,Frankfurt am Main,198.51.100.146,DE
DE,Germany,Hamburg,Frankfurt am Main,198.51.100.147,DE
DE,Germany,Hamburg,Hamburg,198.51.100.148,DE
DE,Germany,Hamburg,Muehlheim,198.51.100.149,DE
DE,Germany,Hamburg,Mühlheim,198.51.100.150,DE
DE,Germany,Hamburg,München,198.51.100.151,DE
DE,Germany,Hamburg,Paderborn,198.51.100.152,DE
DE,Germany,Nordrhein-Westfalen,Berlin,198.51.100.153,DE
DE,Germany,Nordrhein-Westfalen,Berlin,198.51.100.154,DE
DE,Germany,Nordrhein-Westfalen,Bonn,198.51.100.155,DE
DE,Germany,Nordrhein-Westfalen,Bottrop,198.51.100.156,DE
DE,Germany,Nordrhein-Westfalen,Braunschweig,198.51.100.157,DE
DE,Germany,Nordrhein-Westfalen,Hannover,198.51.100.158,DE
DE,Germany,Nordrhein-Westfalen,Leipzig,198.51.100.159,DE
DE,Germany,Nordrhein-Westfalen,München,198.51.100.160,DE
DE,Germany,Nordrhein-Westfalen,Paderborn,198.51.100.161,DE
DE,Germany,Nordrhein-Westfalen,Solingen,198.51.100.162,DE
DE,Germany,Nordrhein-Westfalen,Werne,198.51.100.163,DE
DE,Germany,Saarland,Berlin,198.51.100.164,DE
DE,Germany,Saarland,Berlin,198.51.100.165,DE
DE,Germany,Saarland,Berlin,198.51.100.166,DE
DE,Germany,Saarland,Frankfurt am Main,198.51.100.167,DE
DE,Germany,Saarland,Frankfurt am Main,198.51.100.168,DE
DE,Germany,Saarland,Kiel,198.51.100.169,DE
DE,Germany,Saarland,München,198.51.100.170,DE
DE,Germany,Saarland,Münster,198.51.100.171,DE
DE,Germany,Saarland,Neunkirchen,198.51.100.172,DE
DE,Germany,Saarland,Offenbach,198.51.100.173,DE
DE,Germany,Saarland,Poing,198.51.100.174,DE
DE,Germany,Saarland,Saarbrücken,198.51.100.175,DE
DE,Germany,Saarland,Saarlouis,198.51.100.176,DE
DE,Germany,Saarland,Stuttgart,198.51.100.177,DE
DE,Germany,Saarland,Stuttgart,198.51.100.178,DE
DE,Germany,Saarland,Sulzbach Taunus,198.51.100.179,DE
